,glitch,idm,laptop,ambient,microhouse,electro-acoustic,experimental,minimalist,post-dubstep,classical,maximalist,musique,soundscapes,techno,analog,modular
glitch,1.0,0.8492,0.72583,0.69177,0.83376,0.71254,0.57161,0.77477,0.80709,0.60099,0.73404,0.81352,0.75877,0.7336,0.80387,0.7805
idm,0.8492,1.0,0.60608,0.62918,0.8963,0.64292,0.70844,0.69011,0.86316,0.56619,0.71899,0.71825,0.65274,0.81119,0.58137,0.55265
laptop,0.72583,0.60608,1.0,0.56651,0.65709,0.70139,0.60027,0.62234,0.62947,0.66907,0.56609,0.71485,0.53221,0.49582,0.7461,0.76185
ambient,0.69177,0.62918,0.56651,1.0,0.59437,0.67237,0.66884,0.72019,0.55299,0.548,0.63384,0.59406,0.68748,0.5783,0.46039,0.52172
microhouse,0.83376,0.8963,0.65709,0.59437,1.0,0.66489,0.65656,0.66263,0.91747,0.50181,0.75658,0.72043,0.60989,0.84199,0.59127,0.5994
electro-acoustic,0.71254,0.64292,0.70139,0.67237,0.66489,1.0,0.792,0.85197,0.69445,0.77585,0.80318,0.82289,0.78699,0.51201,0.59495,0.66193
experimental,0.57161,0.70844,0.60027,0.66884,0.65656,0.792,1.0,0.67777,0.66221,0.65221,0.68219,0.64052,0.60222,0.503,0.35515,0.42368
minimalist,0.77477,0.69011,0.62234,0.72019,0.66263,0.85197,0.67777,1.0,0.72242,0.73728,0.80474,0.75241,0.76245,0.60622,0.58145,0.67602
post-dubstep,0.80709,0.86316,0.62947,0.55299,0.91747,0.69445,0.66221,0.72242,1.0,0.53874,0.79725,0.70172,0.61244,0.73742,0.58423,0.60261
classical,0.60099,0.56619,0.66907,0.548,0.50181,0.77585,0.65221,0.73728,0.53874,1.0,0.54789,0.75119,0.56776,0.34307,0.51648,0.62041
maximalist,0.73404,0.71899,0.56609,0.63384,0.75658,0.80318,0.68219,0.80474,0.79725,0.54789,1.0,0.59118,0.7362,0.60108,0.49375,0.64421
musique,0.81352,0.71825,0.71485,0.59406,0.72043,0.82289,0.64052,0.75241,0.70172,0.75119,0.59118,1.0,0.73057,0.57287,0.7333,0.67959
soundscapes,0.75877,0.65274,0.53221,0.68748,0.60989,0.78699,0.60222,0.76245,0.61244,0.56776,0.7362,0.73057,1.0,0.54248,0.63582,0.64004
techno,0.7336,0.81119,0.49582,0.5783,0.84199,0.51201,0.503,0.60622,0.73742,0.34307,0.60108,0.57287,0.54248,1.0,0.50549,0.43601
analog,0.80387,0.58137,0.7461,0.46039,0.59127,0.59495,0.35515,0.58145,0.58423,0.51648,0.49375,0.7333,0.63582,0.50549,1.0,0.82297
modular,0.7805,0.55265,0.76185,0.52172,0.5994,0.66193,0.42368,0.67602,0.60261,0.62041,0.64421,0.67959,0.64004,0.43601,0.82297,1.0
