index,country,electronic,experimental,folk,global,jazz,metal,pop,r&b,rap,rock
country,1,0.005632518319,0.1086955152,0.7057998921,0.2617390472,0.4192861547,0.04388102653,0.2057073009,0.4448050454,0.117533247,0.2884611801
electronic,0.005632518319,1,0.6848571311,0.3229484975,0.3486087284,0.3938345601,0.2355445433,0.3175824724,0.3689972979,0.1507968225,0.09655696471
experimental,0.1086955152,0.6848571311,1,0.431868979,0.4592288079,0.4711262217,0.3460051661,0.2302739891,0.2506661173,0.01198432137,0.1229368083
folk,0.7057998921,0.3229484975,0.431868979,1,0.1501576526,0.5113724706,0.2164647476,0.2903405064,0.3730084539,0.0000000000001,0.2722763466
global,0.2617390472,0.3486087284,0.4592288079,0.1501576526,1,0.2178248443,0.1814006385,0.198816151,0.3479929016,0.4663613421,0.1632580121
jazz,0.4192861547,0.3938345601,0.4711262217,0.5113724706,0.2178248443,1,0.2714604136,0.0847631866,0.4527509883,0.1514724483,0.2279955773
metal,0.04388102653,0.2355445433,0.3460051661,0.2164647476,0.1814006385,0.2714604136,1,0.06303769135,0.0244235444,0.2105120189,0.3459255568
pop,0.2057073009,0.3175824724,0.2302739891,0.2903405064,0.198816151,0.0847631866,0.06303769135,1,0.4413029775,0.2038507636,0.2694172375
r&b,0.4448050454,0.3689972979,0.2506661173,0.3730084539,0.3479929016,0.4527509883,0.0244235444,0.4413029775,1,0.4296753397,0.2278093245
rap,0.117533247,0.1507968225,0.01198432137,0.0000000000001,0.4663613421,0.1514724483,0.2105120189,0.2038507636,0.4296753397,1,0.303740147
rock,0.2884611801,0.09655696471,0.1229368083,0.2722763466,0.1632580121,0.2279955773,0.3459255568,0.2694172375,0.2278093245,0.303740147,1
